属性,实例1,实例2,实例3,实例4,实例5,实例6,实例7,实例8,实例9,实例10,实例11,实例12,实例13,实例14,实例15,实例16
Storage-存储层对象ID,"{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\SPACES_StorageTier.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:ST:{2a814553-2668-45b0-8793-64b98093f59d}{409759d5-aa75-4c76-b53a-e6f072e5e78e}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\SPACES_StorageTier.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:ST:{2a814553-2668-45b0-8793-64b98093f59d}{d3747729-7046-44e9-9ca0-b67c8f1069e8}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\SPACES_StorageTier.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:ST:{e1a79576-1ace-4525-bc8e-512e57c669fb}{5848762a-86e3-4bdd-a6f3-d1f0541b49cc}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\SPACES_StorageTier.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:ST:{e1a79576-1ace-4525-bc8e-512e57c669fb}{d7909454-3092-48c2-b2fd-c541e4b50771}""",,,,,,,,,,,,
Storage-存储池名称,Pool01,Primordial,Pool02,,,,,,,,,,,,,
Storage-存储层名称,Pool01-SSD,Pool01-HDD,Pool02-HDDTier02,Pool02-SSDTier02,,,,,,,,,,,,
GPU-显卡型号,NVIDIA GeForce RTX 3080 Ti,Intel(R) UHD Graphics 770,Microsoft Basic Render Driver,,,,,,,,,,,,,
GPU-驱动版本,577.00,32.0.101.7085,Software,,,,,,,,,,,,,
GPU-专用GPU内存,12288 MiB,128 MiB,0,,,,,,,,,,,,,
GPU-共享GPU内存,16252.7 MiB,16252.7 MiB,16252.7 MiB,,,,,,,,,,,,,
GPU-总计GPU内存,27.8717 GiB,16380.7 MiB,16252.7 MiB,,,,,,,,,,,,,
GPU-DirectX 支持,12 (FL 12.1),12 (FL 12.1),12 (FL 12.1),,,,,,,,,,,,,
GPU-总线,01,00,N/A,,,,,,,,,,,,,
GPU-设备,00,02,N/A,,,,,,,,,,,,,
GPU-功能,00,00,N/A,,,,,,,,,,,,,
Monitor-型号,HDMI,ANT27VU,HDMI,monitor,,,,,,,,,,,,
Monitor-制造商,IPS,HKC,SGT,MHH,,,,,,,,,,,,
Monitor-连接显卡,Intel(R) UHD Graphics 770,NVIDIA GeForce RTX 3080 Ti,NVIDIA GeForce RTX 3080 Ti,NVIDIA GeForce RTX 3080 Ti,,,,,,,,,,,,
Monitor-水平坐标,2560,-589,-1600,0,,,,,,,,,,,,
Monitor-垂直坐标,-620,1440,-1144,0,,,,,,,,,,,,
